"Country or Area","Year","Area","Sex","Age","Record Type","Reliability","Source Year","Value","Value Footnotes"
"Brazil","2018","Total","Both Sexes","Total","Data tabulated by year of registration","Final figure, complete","2020","1283496","1"
"Brazil","2018","Total","Both Sexes","0","Data tabulated by year of registration","Final figure, complete","2020","30651","1"
"Brazil","2018","Total","Both Sexes","1 - 4","Data tabulated by year of registration","Final figure, complete","2020","5521","1"
"Brazil","2018","Total","Both Sexes","5 - 9","Data tabulated by year of registration","Final figure, complete","2020","2914","1"
"Brazil","2018","Total","Both Sexes","10 - 14","Data tabulated by year of registration","Final figure, complete","2020","4156","1"
"Brazil","2018","Total","Both Sexes","15 - 19","Data tabulated by year of registration","Final figure, complete","2020","17970","1"
"Brazil","2018","Total","Both Sexes","20 - 24","Data tabulated by year of registration","Final figure, complete","2020","25716","1"
"Brazil","2018","Total","Both Sexes","25 - 29","Data tabulated by year of registration","Final figure, complete","2020","23942","1"
"Brazil","2018","Total","Both Sexes","30 - 34","Data tabulated by year of registration","Final figure, complete","2020","26702","1"
"Brazil","2018","Total","Both Sexes","35 - 39","Data tabulated by year of registration","Final figure, complete","2020","32493","1"
"Brazil","2018","Total","Both Sexes","40 - 44","Data tabulated by year of registration","Final figure, complete","2020","37993","1"
"Brazil","2018","Total","Both Sexes","45 - 49","Data tabulated by year of registration","Final figure, complete","2020","48638","1"
"Brazil","2018","Total","Both Sexes","50 - 54","Data tabulated by year of registration","Final figure, complete","2020","66613","1"
"Brazil","2018","Total","Both Sexes","55 - 59","Data tabulated by year of registration","Final figure, complete","2020","85184","1"
"Brazil","2018","Total","Both Sexes","60 - 64","Data tabulated by year of registration","Final figure, complete","2020","106044","1"
"Brazil","2018","Total","Both Sexes","65 - 69","Data tabulated by year of registration","Final figure, complete","2020","119799","1"
"Brazil","2018","Total","Both Sexes","70 - 74","Data tabulated by year of registration","Final figure, complete","2020","128747","1"
"Brazil","2018","Total","Both Sexes","75 - 79","Data tabulated by year of registration","Final figure, complete","2020","137968","1"
"Brazil","2018","Total","Both Sexes","80 - 84","Data tabulated by year of registration","Final figure, complete","2020","138858","1"
"Brazil","2018","Total","Both Sexes","85 - 89","Data tabulated by year of registration","Final figure, complete","2020","122659","1"
"Brazil","2018","Total","Both Sexes","90 - 94","Data tabulated by year of registration","Final figure, complete","2020","77836","1"
"Brazil","2018","Total","Both Sexes","90 +","Data tabulated by year of registration","Final figure, complete","2020","117636","1"
"Brazil","2018","Total","Both Sexes","95 - 99","Data tabulated by year of registration","Final figure, complete","2020","30301","1"
"Brazil","2018","Total","Both Sexes","100 +","Data tabulated by year of registration","Final figure, complete","2020","9499","1"
"Brazil","2018","Total","Both Sexes","Unknown","Data tabulated by year of registration","Final figure, complete","2020","3292","1"
"Brazil","2018","Total","Male","Total","Data tabulated by year of registration","Final figure, complete","2020","715143","2"
"Brazil","2018","Total","Male","0","Data tabulated by year of registration","Final figure, complete","2020","16846","2"
"Brazil","2018","Total","Male","1 - 4","Data tabulated by year of registration","Final figure, complete","2020","2977","2"
"Brazil","2018","Total","Male","5 - 9","Data tabulated by year of registration","Final figure, complete","2020","1645","2"
"Brazil","2018","Total","Male","10 - 14","Data tabulated by year of registration","Final figure, complete","2020","2460","2"
"Brazil","2018","Total","Male","15 - 19","Data tabulated by year of registration","Final figure, complete","2020","14609","2"
"Brazil","2018","Total","Male","20 - 24","Data tabulated by year of registration","Final figure, complete","2020","21271","2"
"Brazil","2018","Total","Male","25 - 29","Data tabulated by year of registration","Final figure, complete","2020","18880","2"
"Brazil","2018","Total","Male","30 - 34","Data tabulated by year of registration","Final figure, complete","2020","19537","2"
"Brazil","2018","Total","Male","35 - 39","Data tabulated by year of registration","Final figure, complete","2020","22382","2"
"Brazil","2018","Total","Male","40 - 44","Data tabulated by year of registration","Final figure, complete","2020","24924","2"
"Brazil","2018","Total","Male","45 - 49","Data tabulated by year of registration","Final figure, complete","2020","30989","2"
"Brazil","2018","Total","Male","50 - 54","Data tabulated by year of registration","Final figure, complete","2020","42105","2"
"Brazil","2018","Total","Male","55 - 59","Data tabulated by year of registration","Final figure, complete","2020","53037","2"
"Brazil","2018","Total","Male","60 - 64","Data tabulated by year of registration","Final figure, complete","2020","64607","2"
"Brazil","2018","Total","Male","65 - 69","Data tabulated by year of registration","Final figure, complete","2020","70377","2"
"Brazil","2018","Total","Male","70 - 74","Data tabulated by year of registration","Final figure, complete","2020","72520","2"
"Brazil","2018","Total","Male","75 - 79","Data tabulated by year of registration","Final figure, complete","2020","73019","2"
"Brazil","2018","Total","Male","80 - 84","Data tabulated by year of registration","Final figure, complete","2020","66528","2"
"Brazil","2018","Total","Male","85 - 89","Data tabulated by year of registration","Final figure, complete","2020","51964","2"
"Brazil","2018","Total","Male","90 - 94","Data tabulated by year of registration","Final figure, complete","2020","29117","2"
"Brazil","2018","Total","Male","90 +","Data tabulated by year of registration","Final figure, complete","2020","42086","2"
"Brazil","2018","Total","Male","95 - 99","Data tabulated by year of registration","Final figure, complete","2020","10135","2"
"Brazil","2018","Total","Male","100 +","Data tabulated by year of registration","Final figure, complete","2020","2834","2"
"Brazil","2018","Total","Male","Unknown","Data tabulated by year of registration","Final figure, complete","2020","2380","2"
"Brazil","2018","Total","Female","Total","Data tabulated by year of registration","Final figure, complete","2020","567889","2"
"Brazil","2018","Total","Female","0","Data tabulated by year of registration","Final figure, complete","2020","13714","2"
"Brazil","2018","Total","Female","1 - 4","Data tabulated by year of registration","Final figure, complete","2020","2541","2"
"Brazil","2018","Total","Female","5 - 9","Data tabulated by year of registration","Final figure, complete","2020","1269","2"
"Brazil","2018","Total","Female","10 - 14","Data tabulated by year of registration","Final figure, complete","2020","1695","2"
"Brazil","2018","Total","Female","15 - 19","Data tabulated by year of registration","Final figure, complete","2020","3354","2"
"Brazil","2018","Total","Female","20 - 24","Data tabulated by year of registration","Final figure, complete","2020","4441","2"
"Brazil","2018","Total","Female","25 - 29","Data tabulated by year of registration","Final figure, complete","2020","5058","2"
"Brazil","2018","Total","Female","30 - 34","Data tabulated by year of registration","Final figure, complete","2020","7163","2"
"Brazil","2018","Total","Female","35 - 39","Data tabulated by year of registration","Final figure, complete","2020","10109","2"
"Brazil","2018","Total","Female","40 - 44","Data tabulated by year of registration","Final figure, complete","2020","13063","2"
"Brazil","2018","Total","Female","45 - 49","Data tabulated by year of registration","Final figure, complete","2020","17644","2"
"Brazil","2018","Total","Female","50 - 54","Data tabulated by year of registration","Final figure, complete","2020","24498","2"
"Brazil","2018","Total","Female","55 - 59","Data tabulated by year of registration","Final figure, complete","2020","32134","2"
"Brazil","2018","Total","Female","60 - 64","Data tabulated by year of registration","Final figure, complete","2020","41429","2"
"Brazil","2018","Total","Female","65 - 69","Data tabulated by year of registration","Final figure, complete","2020","49407","2"
"Brazil","2018","Total","Female","70 - 74","Data tabulated by year of registration","Final figure, complete","2020","56215","2"
"Brazil","2018","Total","Female","75 - 79","Data tabulated by year of registration","Final figure, complete","2020","64937","2"
"Brazil","2018","Total","Female","80 - 84","Data tabulated by year of registration","Final figure, complete","2020","72309","2"
"Brazil","2018","Total","Female","85 - 89","Data tabulated by year of registration","Final figure, complete","2020","70683","2"
"Brazil","2018","Total","Female","90 - 94","Data tabulated by year of registration","Final figure, complete","2020","48707","2"
"Brazil","2018","Total","Female","90 +","Data tabulated by year of registration","Final figure, complete","2020","75522","2"
"Brazil","2018","Total","Female","95 - 99","Data tabulated by year of registration","Final figure, complete","2020","20161","2"
"Brazil","2018","Total","Female","100 +","Data tabulated by year of registration","Final figure, complete","2020","6654","2"
"Brazil","2018","Total","Female","Unknown","Data tabulated by year of registration","Final figure, complete","2020","704","2"
"Mexico","2019","Total","Both Sexes","Total","Data tabulated by year of registration","Final figure, complete","2021","734001","3"
"Mexico","2019","Total","Both Sexes","0","Data tabulated by year of registration","Final figure, complete","2021","22641","3"
"Mexico","2019","Total","Both Sexes","1","Data tabulated by year of registration","Final figure, complete","2021","2144","3"
"Mexico","2019","Total","Both Sexes","1 - 4","Data tabulated by year of registration","Final figure, complete","2021","4644","3"
"Mexico","2019","Total","Both Sexes","2","Data tabulated by year of registration","Final figure, complete","2021","1111","3"
"Mexico","2019","Total","Both Sexes","3","Data tabulated by year of registration","Final figure, complete","2021","756","3"
"Mexico","2019","Total","Both Sexes","4","Data tabulated by year of registration","Final figure, complete","2021","633","3"
"Mexico","2019","Total","Both Sexes","5","Data tabulated by year of registration","Final figure, complete","2021","540","3"
"Mexico","2019","Total","Both Sexes","5 - 9","Data tabulated by year of registration","Final figure, complete","2021","2447","3"
"Mexico","2019","Total","Both Sexes","6","Data tabulated by year of registration","Final figure, complete","2021","479","3"
"Mexico","2019","Total","Both Sexes","7","Data tabulated by year of registration","Final figure, complete","2021","487","3"
"Mexico","2019","Total","Both Sexes","8","Data tabulated by year of registration","Final figure, complete","2021","442","3"
"Mexico","2019","Total","Both Sexes","9","Data tabulated by year of registration","Final figure, complete","2021","499","3"
"Mexico","2019","Total","Both Sexes","10","Data tabulated by year of registration","Final figure, complete","2021","516","3"
"Mexico","2019","Total","Both Sexes","10 - 14","Data tabulated by year of registration","Final figure, complete","2021","3102","3"
"Mexico","2019","Total","Both Sexes","11","Data tabulated by year of registration","Final figure, complete","2021","477","3"
"Mexico","2019","Total","Both Sexes","12","Data tabulated by year of registration","Final figure, complete","2021","582","3"
"Mexico","2019","Total","Both Sexes","13","Data tabulated by year of registration","Final figure, complete","2021","682","3"
"Mexico","2019","Total","Both Sexes","14","Data tabulated by year of registration","Final figure, complete","2021","845","3"
"Mexico","2019","Total","Both Sexes","15","Data tabulated by year of registration","Final figure, complete","2021","1145","3"
"Mexico","2019","Total","Both Sexes","15 - 19","Data tabulated by year of registration","Final figure, complete","2021","8918","3"
"Mexico","2019","Total","Both Sexes","16","Data tabulated by year of registration","Final figure, complete","2021","1495","3"
"Mexico","2019","Total","Both Sexes","17","Data tabulated by year of registration","Final figure, complete","2021","1758","3"
"Mexico","2019","Total","Both Sexes","18","Data tabulated by year of registration","Final figure, complete","2021","2165","3"
"Mexico","2019","Total","Both Sexes","19","Data tabulated by year of registration","Final figure, complete","2021","2355","3"
"Mexico","2019","Total","Both Sexes","20","Data tabulated by year of registration","Final figure, complete","2021","2651","3"
"Mexico","2019","Total","Both Sexes","20 - 24","Data tabulated by year of registration","Final figure, complete","2021","14607","3"
"Mexico","2019","Total","Both Sexes","21","Data tabulated by year of registration","Final figure, complete","2021","2783","3"
"Mexico","2019","Total","Both Sexes","22","Data tabulated by year of registration","Final figure, complete","2021","2870","3"
"Mexico","2019","Total","Both Sexes","23","Data tabulated by year of registration","Final figure, complete","2021","3138","3"
"Mexico","2019","Total","Both Sexes","24","Data tabulated by year of registration","Final figure, complete","2021","3165","3"
"Mexico","2019","Total","Both Sexes","25","Data tabulated by year of registration","Final figure, complete","2021","3350","3"
"Mexico","2019","Total","Both Sexes","25 - 29","Data tabulated by year of registration","Final figure, complete","2021","17388","3"
"Mexico","2019","Total","Both Sexes","26","Data tabulated by year of registration","Final figure, complete","2021","3379","3"
"Mexico","2019","Total","Both Sexes","27","Data tabulated by year of registration","Final figure, complete","2021","3596","3"
"Mexico","2019","Total","Both Sexes","28","Data tabulated by year of registration","Final figure, complete","2021","3576","3"
"Mexico","2019","Total","Both Sexes","29","Data tabulated by year of registration","Final figure, complete","2021","3487","3"
"Mexico","2019","Total","Both Sexes","30","Data tabulated by year of registration","Final figure, complete","2021","3572","3"
"Mexico","2019","Total","Both Sexes","30 - 34","Data tabulated by year of registration","Final figure, complete","2021","18009","3"
