"Country or Area","Year","Area","Sex","Age","Record Type","Reliability","Source Year","Value","Value Footnotes"
"Mexico","2019","Total","Both Sexes","Total","Data tabulated by year of registration","Final figure, complete","2021","734001","1"
"Mexico","2019","Total","Both Sexes","0","Data tabulated by year of registration","Final figure, complete","2021","22641","1"
"Mexico","2019","Total","Both Sexes","1","Data tabulated by year of registration","Final figure, complete","2021","2144","1"
"Mexico","2019","Total","Both Sexes","1 - 4","Data tabulated by year of registration","Final figure, complete","2021","4644","1"
"Mexico","2019","Total","Both Sexes","2","Data tabulated by year of registration","Final figure, complete","2021","1111","1"
"Mexico","2019","Total","Both Sexes","3","Data tabulated by year of registration","Final figure, complete","2021","756","1"
"Mexico","2019","Total","Both Sexes","4","Data tabulated by year of registration","Final figure, complete","2021","633","1"
"Mexico","2019","Total","Both Sexes","5","Data tabulated by year of registration","Final figure, complete","2021","540","1"
"Mexico","2019","Total","Both Sexes","5 - 9","Data tabulated by year of registration","Final figure, complete","2021","2447","1"
"Mexico","2019","Total","Both Sexes","6","Data tabulated by year of registration","Final figure, complete","2021","479","1"
"Mexico","2019","Total","Both Sexes","7","Data tabulated by year of registration","Final figure, complete","2021","487","1"
"Mexico","2019","Total","Both Sexes","8","Data tabulated by year of registration","Final figure, complete","2021","442","1"
"Mexico","2019","Total","Both Sexes","9","Data tabulated by year of registration","Final figure, complete","2021","499","1"
"Mexico","2019","Total","Both Sexes","10","Data tabulated by year of registration","Final figure, complete","2021","516","1"
"Mexico","2019","Total","Both Sexes","10 - 14","Data tabulated by year of registration","Final figure, complete","2021","3102","1"
"Mexico","2019","Total","Both Sexes","11","Data tabulated by year of registration","Final figure, complete","2021","477","1"
"Mexico","2019","Total","Both Sexes","12","Data tabulated by year of registration","Final figure, complete","2021","582","1"
"Mexico","2019","Total","Both Sexes","13","Data tabulated by year of registration","Final figure, complete","2021","682","1"
"Mexico","2019","Total","Both Sexes","14","Data tabulated by year of registration","Final figure, complete","2021","845","1"
"Mexico","2019","Total","Both Sexes","15","Data tabulated by year of registration","Final figure, complete","2021","1145","1"
"Mexico","2019","Total","Both Sexes","15 - 19","Data tabulated by year of registration","Final figure, complete","2021","8918","1"
"Mexico","2019","Total","Both Sexes","16","Data tabulated by year of registration","Final figure, complete","2021","1495","1"
"Mexico","2019","Total","Both Sexes","17","Data tabulated by year of registration","Final figure, complete","2021","1758","1"
"Mexico","2019","Total","Both Sexes","18","Data tabulated by year of registration","Final figure, complete","2021","2165","1"
"Mexico","2019","Total","Both Sexes","19","Data tabulated by year of registration","Final figure, complete","2021","2355","1"
"Mexico","2019","Total","Both Sexes","20","Data tabulated by year of registration","Final figure, complete","2021","2651","1"
"Mexico","2019","Total","Both Sexes","20 - 24","Data tabulated by year of registration","Final figure, complete","2021","14607","1"
"Mexico","2019","Total","Both Sexes","21","Data tabulated by year of registration","Final figure, complete","2021","2783","1"
"Mexico","2019","Total","Both Sexes","22","Data tabulated by year of registration","Final figure, complete","2021","2870","1"
"Mexico","2019","Total","Both Sexes","23","Data tabulated by year of registration","Final figure, complete","2021","3138","1"
"Mexico","2019","Total","Both Sexes","24","Data tabulated by year of registration","Final figure, complete","2021","3165","1"
"Mexico","2019","Total","Both Sexes","25","Data tabulated by year of registration","Final figure, complete","2021","3350","1"
"Mexico","2019","Total","Both Sexes","25 - 29","Data tabulated by year of registration","Final figure, complete","2021","17388","1"
"Mexico","2019","Total","Both Sexes","26","Data tabulated by year of registration","Final figure, complete","2021","3379","1"
"Mexico","2019","Total","Both Sexes","27","Data tabulated by year of registration","Final figure, complete","2021","3596","1"
"Mexico","2019","Total","Both Sexes","28","Data tabulated by year of registration","Final figure, complete","2021","3576","1"
"Mexico","2019","Total","Both Sexes","29","Data tabulated by year of registration","Final figure, complete","2021","3487","1"
"Mexico","2019","Total","Both Sexes","30","Data tabulated by year of registration","Final figure, complete","2021","3572","1"
"Mexico","2019","Total","Both Sexes","30 - 34","Data tabulated by year of registration","Final figure, complete","2021","18009","1"
"Mexico","2019","Total","Both Sexes","31","Data tabulated by year of registration","Final figure, complete","2021","3517","1"
"Mexico","2019","Total","Both Sexes","32","Data tabulated by year of registration","Final figure, complete","2021","3575","1"
"Mexico","2019","Total","Both Sexes","33","Data tabulated by year of registration","Final figure, complete","2021","3655","1"
"Mexico","2019","Total","Both Sexes","34","Data tabulated by year of registration","Final figure, complete","2021","3690","1"
"Mexico","2019","Total","Both Sexes","35","Data tabulated by year of registration","Final figure, complete","2021","3831","1"
"Mexico","2019","Total","Both Sexes","35 - 39","Data tabulated by year of registration","Final figure, complete","2021","20281","1"
"Mexico","2019","Total","Both Sexes","36","Data tabulated by year of registration","Final figure, complete","2021","3841","1"
"Mexico","2019","Total","Both Sexes","37","Data tabulated by year of registration","Final figure, complete","2021","4090","1"
"Mexico","2019","Total","Both Sexes","38","Data tabulated by year of registration","Final figure, complete","2021","4151","1"
